flowLength,duration,accessFreq,risk_level
299,0,3200,低风险
944,27,2720,低风险
200,0,402,低风险
45,0,45,低风险
217,0,35040,低风险
7196,0,0,低风险
44,0,115,低风险
200,0,2596,低风险
258,0,406,低风险
4018,0,324,低风险
44,0,128,低风险
976,0,339,低风险
283,0,18037,低风险
241,0,1429,低风险
64,0,0,低风险
267,0,666,低风险
189,0,18004,低风险
183,0,0,低风险
197,0,2276,低风险
204,0,952,低风险
234,0,710,低风险
105,1,146,低风险
217,0,6763,低风险
204,0,254,低风险
320,0,520,低风险
44,0,44,低风险
40,0,40,低风险
456980,0,0,低风险
250,0,1800,低风险
45,0,111,低风险
105,0,146,低风险
48,0,48,低风险
0,0,0,低风险
12,0,0,低风险
301,0,1565,低风险
31,0,0,低风险
44,0,133,低风险
376,0,642,低风险
301,0,960,低风险
253,0,269,低风险
211,0,1209,低风险
1375,0,332,低风险
45,0,82,低风险
145,3447,105,低风险
43,0,128,低风险
285,0,9998,低风险
1460,32,4152,低风险
0,0,0,低风险
220,0,619,低风险
200,0,2596,低风险
218,0,983,低风险
223,0,436,低风险
46,28,46,低风险
318,0,1342,低风险
26,0,0,低风险
340,0,283,低风险
313,0,297,低风险
222,252,238,低风险
12165,0,0,低风险
0,0,20256,低风险
345,0,884,低风险
246,0,692,低风险
325,0,403,低风险
288,0,12040,低风险
227,0,654,低风险
203,0,1792,低风险
1010,0,0,低风险
288,0,293,低风险
43,0,43,低风险
0,0,0,低风险
229,0,1397,低风险
299,0,2698,低风险
1505,31,4152,低风险
0,0,0,低风险
211,0,2530,低风险
0,0,0,低风险
254,0,1628,低风险
244,0,2295,低风险
464,0,10134,低风险
240,0,31639,低风险
105,0,146,低风险
1874,0,0,低风险
42,0,42,低风险
8,0,147,低风险
221,0,2174,低风险
37,0,0,低风险
567,0,0,低风险
1053,0,329,低风险
1438,0,385,低风险
176,0,426,低风险
345,0,1069,低风险
1287,1,366,低风险
382,0,3755,低风险
354,0,3540,低风险
727,0,327,低风险
911,5,357,低风险
10468,918,334048,低风险
173,0,1737,低风险
360,0,9768,低风险
202,0,6527,低风险
31,0,0,低风险
336,0,1454,低风险
1477,11,335,低风险
301,0,291,低风险
238,0,311,低风险
249,0,285,低风险
44,0,134,低风险
160,0,193,低风险
237,0,374,低风险
220,0,434,低风险
281,0,17449,低风险
158,0,10144,低风险
105,7,2138,低风险
358,0,2085,低风险
219,0,1565,低风险
3248,0,328,低风险
300,0,1466,低风险
1,0,4,低风险
217,0,10384,低风险
325,0,2125,低风险
45,0,45,低风险
1574,1,400,低风险
88382,0,0,低风险
182,0,886,低风险
46,0,117,低风险
210,0,303,低风险
0,1,4,低风险
44,0,127,低风险
215,0,12884,低风险
495,0,0,低风险
0,4,0,低风险
382,0,526,低风险
312,0,839,低风险
233,0,275,低风险
884,0,0,低风险
254,0,390,低风险
236,0,309,低风险
147,4219,105,低风险
89,119,45,低风险
1436,0,433,低风险
8325,0,0,低风险
0,0,0,低风险
224,0,2649,低风险
191,0,1938,低风险
276,0,345,低风险
634,666,20143,低风险
245,0,14884,低风险
222,0,5834,低风险
201,0,362,低风险
44,0,44,低风险
8,0,224,低风险
332,0,749,低风险
254,0,4845,低风险
229,0,861,低风险
280,0,942,低风险
312,0,200,低风险
46,0,140,低风险
2901,1,332,低风险
303,0,29228,低风险
78,0,0,低风险
236,0,2033,低风险
42,0,124,低风险
170,0,13603,低风险
648,1,334,低风险
46,0,132,低风险
43,0,79,低风险
300,0,1042,低风险
201,0,4364,低风险
295,0,8227,低风险
835,58,1639484,低风险
243,0,1493,低风险
45,0,138,低风险
5891,0,0,低风险
44,0,44,低风险
1481,27,4152,低风险
42,23,34,低风险
0,0,0,低风险
516,0,4,低风险
246,0,2195,低风险
210,0,738,低风险
1896,15,446,低风险
237,0,8892,低风险
12022,0,1430,低风险
44,0,133,低风险
244,0,27000,低风险
347,0,362,低风险
308,0,1899,低风险
10,0,228,低风险
218,0,3089,低风险
308,0,1075,低风险
206,0,3731,低风险
37,0,0,低风险
201,0,458,低风险
223,0,5567,低风险
197,0,293,低风险
11600,0,1431,低风险
10389,0,0,低风险
306,0,389,低风险
316,0,3433,低风险
17,0,0,低风险
260,0,419,低风险
44,0,80,低风险
297,0,27928,低风险
29,0,29,低风险
182,0,0,低风险
45,0,119,低风险
253,0,2802,低风险
333,0,1300,低风险
214,0,882,低风险
290,0,263,低风险
310,0,2251,低风险
286,0,21900,低风险
319,0,387,低风险
295,0,35949,低风险
211,0,564,低风险
228,0,31614,低风险
105,0,0,低风险
146,2580,105,低风险
232,0,960,低风险
1016,1,332,低风险
232,0,391,低风险
221,0,4096,低风险
1162,0,333,低风险
204,0,1487,低风险
2056,0,0,低风险
331,0,279,低风险
43,0,73,低风险
287,0,3880,低风险
1490,6,407,低风险
104,7,2328,低风险
240,0,664,低风险
63,0,0,低风险
225,0,3649,低风险
652,0,327,低风险
0,0,0,低风险
46,0,83,低风险
2276,1,337,低风险
1453,28,4152,低风险
147,16872,105,低风险
224,0,7775,低风险
1342,0,0,低风险
207,0,5971,低风险
249,0,5691,低风险
314,0,309,低风险
218,0,4741,低风险
0,0,0,低风险
324,0,3461,低风险
2142,2,331,低风险
280,0,24971,低风险
200,0,293,低风险
189,0,9345,低风险
313,0,5790,低风险
147,1985,105,低风险
232,0,1380,低风险
888,0,327,低风险
3468,0,0,低风险
224,0,4114,低风险
245,0,0,低风险
637,0,0,低风险
192,0,0,低风险
220,0,391,低风险
0,1,4,低风险
212,0,362,低风险
219,0,952,低风险
202,0,1320,低风险
225,132,756,低风险
44,0,78,低风险
43,0,116,低风险
303,0,1130,低风险
201,0,2630,低风险
0,0,0,低风险
1538,28,4152,低风险
314,0,3445,低风险
320,0,3845,低风险
146,0,0,低风险
293,0,1579,低风险
1111,0,331,低风险
0,0,0,低风险
3235,0,281,低风险
218,0,5280,低风险
2890,0,0,低风险
195,0,280,低风险
217,0,1379,低风险
204,0,1651,低风险
326,0,1319,低风险
142,0,16627,低风险
45,0,135,低风险
491,0,0,低风险
217,0,5399,低风险
325,0,2109,低风险
236,0,1158,低风险
221,0,602,低风险
147,0,0,低风险
172,0,1138,低风险
