"id","plan_name","formula_mode","tool_type","remark","del_flag","create_id","create_name","create_time","update_id","update_name","update_time"
"22","test","1","1","","1","1","管理员","24/6/2020 13:52:08","1","管理员","24/6/2020 13:52:08"
"23","含玻纤材料模具","2","2","模具按次达到数量则触发相应的保养计划。","0","1","管理员","13/7/2020 14:44:12","1","管理员","14/10/2020 16:27:20"
"24","镜面模具","2","2","	
模具按次达到数量则触发相应的保养计划。","0","1","管理员","14/10/2020 16:25:20","1","管理员","14/10/2020 16:27:32"
"25","导光板模具","2","2","模具按次达到数量则触发相应的保养计划。","0","1","管理员","23/10/2020 09:35:13","1","管理员","23/10/2020 09:35:27"
"26","特殊类模具","2","2","模具按次达到数量则触发相应的保养计划。","0","1","管理员","23/10/2020 09:40:31","1","管理员","23/10/2020 09:40:41"
"27","不常用模具","1","2","不常用模具按时间触发保养计划。","0","1","管理员","23/10/2020 09:45:14","1","管理员","23/10/2020 09:48:52"
"28","注塑关联设备","1","1","设备按时间触发保养计划。","0","1","管理员","23/10/2020 09:48:33","1","管理员","23/10/2020 09:48:33"
"29","集中供料系统","1","1","供料系统按时间触发保养计划。","0","1","管理员","23/10/2020 09:53:44","1","管理员","23/10/2020 09:53:44"
"30","普通模具（260T以上机台）","2","2","按次数触发相应的保养计划","0","1","管理员","2/12/2020 14:05:20","1","管理员","2/12/2020 14:12:18"
"31","普通模具（260T及以下机台）","2","2","按次数触发相应的保养计划","0","1","管理员","2/12/2020 14:12:07","1","管理员","2/12/2020 14:12:07"
