"id","supplier_name","supplier_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"12","测试厂商","","2","0","","1","管理员","18/6/2020 13:11:21","1","管理员","12/1/2021 16:11:57"
"13","勋龙智造精密应用材料（苏州）股份有限公司","勋龙智造精密应用材料（苏州）股份有限公司","1","0","","1","管理员","13/7/2020 14:27:06","1","管理员","9/12/2020 14:33:21"
"14","无锡安森源通讯科技有限公司","无锡安森源通讯科技有限公司","1","0","","1","管理员","13/7/2020 14:27:23","1","管理员","13/7/2020 14:27:23"
"15","南京韦尔夫斯塑胶制品有限公司","南京韦尔夫斯塑胶制品有限公司","1","0","","1","管理员","13/7/2020 14:27:41","1","管理员","13/7/2020 14:27:41"
"16","安徽龙锐模塑有限公司","安徽龙锐模塑有限公司","1","0","","1","管理员","13/7/2020 14:27:56","1","管理员","13/7/2020 14:27:56"
"17","南京明远塑料模具有限公司","南京明远塑料模具有限公司","1","0","","1","管理员","13/7/2020 14:28:14","1","管理员","13/7/2020 14:28:14"
"18","滁州市博康模具塑料有限公司","滁州市博康模具塑料有限公司","1","0","","1","管理员","9/12/2020 14:33:41","1","管理员","9/12/2020 14:33:41"
"19","昆山吉隆科森光电有限公司","昆山吉隆科森光电有限公司","1","0","","1","管理员","9/12/2020 14:34:07","1","管理员","9/12/2020 14:34:07"
"20","滁州明峰复合材料有限公司","滁州明峰复合材料有限公司","1","0","","1","管理员","9/12/2020 14:34:21","1","管理员","9/12/2020 14:34:21"
"21","南京华山喷涂有限公司","南京华山喷涂有限公司","1","0","","1","管理员","9/12/2020 14:34:32","1","管理员","9/12/2020 14:34:32"
"22","东菀新浩 ","东菀新浩 ","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"23","新浩","新浩","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:10"
"24","信易","信易","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:07"
"25","南京新冠","南京新冠","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"26","上海天康","上海天康","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"27","上海茂湘","上海茂湘","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"28","上海信易","上海信易","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"29","东菀新浩 ","东菀新浩 ","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:18"
"30","惠州新浩","惠州新浩","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"31","天康","天康","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:27"
"32","张家港金成","张家港金成","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"33","北仑信热","北仑信热","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"34","川田","川田","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"35","大同机械","大同机械","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"36","瑞康","瑞康","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:33"
"37","滁州瑞康","滁州瑞康","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"38","瑞士","瑞士","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:35"
"39","百旺塑料珠海","百旺塑料珠海","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"40","长城松井","长城松井","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"41","信易电热 ","信易电热 ","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"42","上海茵香","上海茵香","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"43","日本STAR","日本STAR","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"44","韩国","韩国","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"45","星精机械","星精机械","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"46","艾尔发（苏州）","艾尔发（苏州）","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"47","有信精机","有信精机","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"48","深圳明利行","深圳明利行","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"49","昆山日塑","昆山日塑","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"50","艾尔发","艾尔发","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"51","南京北立","南京北立","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"52","宁波伟立","宁波伟立","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"53","青岛科捷","青岛科捷","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"54","布鲁艾诺","布鲁艾诺","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"55","伟力","伟力","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"56","意大利","意大利","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:46"
"57","MOTAN公司","MOTAN公司","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:12:50"
"58","松井","松井","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"59","阿博格机械","阿博格机械","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:11:47"
"60","江苏海天 ","江苏海天 ","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:03:18"
"61","东华 ","东华 ","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:07:24"
"62","东华","东华","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:07:24"
"63","震雄营销","震雄营销","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:05:31"
"64","海天机械","海天机械","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:06:01"
"65","无锡格兰 ","无锡格兰 ","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:06:36"
"66","东华机械","东华机械","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:07:04"
"67","日本东洋","日本东洋","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:06:26"
"68","德马格机械","德马格机械","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:07:14"
"69","东洋机械"," 东洋机械","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:10:19"
"70","日本沙迪克","日本沙迪克","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:13:03"
"71","ENGLE","ENGLE","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"72","ZHAFIR","ZHAFIR","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"73","DEMAG","DEMAG","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"74","东芝机械","东芝机械","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:08:14"
"75","FANUC","FANUC","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:11:02"
"76","SODICK","SODICK","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:10:57"
"77","海天（双色）","海天（双色）","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:13:11"
"78","阿博格","阿博格","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:13:13"
"79","JSW","JSW","2","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:13:16"
"80","上海易信电热","上海易信电热","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"81","上海宜信电热","上海宜信电热","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"82","南京华格","南京华格","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"83","霍尼韦尔","霍尼韦尔","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"84","瑞士阿奇","瑞士阿奇","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"85","台湾匠泽","台湾匠泽","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"86","日本发那科","日本发那科","1","0","","-1","","1/1/1000 00:00:00","1","管理员","12/1/2021 16:09:48"
