置信度,项目制采购发起,战略安全库存评估,制定装备采购计划,供应商资质核验与选择,样件检验与签约,IQC与入库管理,款项结算,质量追溯与供应商管理
85%,25.3247,32.098,91.9533,78.8957,226.3932,115.5245,266.5838,129.7153
86%,25.8073,32.8006,93.8172,80.0614,233.035,118.5907,274.8573,132.403
87%,26.3346,33.562,95.842,81.3213,240.3526,121.9741,283.9621,135.3135
88%,26.9107,34.3978,98.0257,82.676,248.4865,125.7433,294.0189,138.4845
89%,27.5384,35.3209,100.4002,84.1486,257.6171,129.9622,305.2612,141.9778
90%,28.2318,36.351,103.0343,85.7508,268.0841,134.7459,317.9202,145.8668
91%,29.0072,37.5142,105.9875,87.5321,280.057,140.2302,332.294,150.2597
92%,29.8744,38.8417,109.358,89.5324,293.9977,146.6459,348.765,155.306
93%,30.8647,40.3906,113.2097,91.8371,310.574,154.2848,368.0999,161.1926
94%,32.0285,42.2299,117.7437,94.5039,330.8706,163.604,391.0752,168.1066
95%,33.4383,44.4846,123.1349,97.6808,356.3944,175.4075,419.6711,176.4622
96%,35.2173,47.4421,129.798,101.5174,390.0537,190.8405,456.9957,187.1033
97%,37.5392,51.5204,138.5383,106.4117,438.444,213.0917,509.709,201.5407
98%,40.8983,57.7943,151.0965,113.5594,515.2437,248.3324,592.6222,223.4948
99%,46.7968,69.4312,173.7064,126.6235,678.8708,322.4326,758.3362,264.6366
